city,country,latitude,longitude,max_temp,humidity,cloudiness,Wind speed
kilembe,UG,0.2,30.01,19.87,68,73,0.65
tonota,BW,-21.44,27.46,22.95,68,58,2.7
limulunga,ZM,-15.13,23.15,19.39,88,100,2.22
lumeje,AO,-11.56,20.78,18.06,95,100,1.44
moundou,TD,8.57,16.07,19.22,32,0,1.5
kansanshi,ZM,-12.1,26.43,17.24,97,100,0.16
muramvya,BI,-3.27,29.62,13.61,90,100,1.1
mokhotlong,LS,-29.29,29.06,10.47,89,100,1.24
boali,CF,4.81,18.11,21.0,94,0,2.68
kaoma,ZM,-14.8,24.8,17.81,94,100,1.44
wesselsbron,ZA,-27.85,26.36,17.22,95,100,3.23
malanje,AO,-9.54,16.35,17.33,99,100,0.34
gwembe,ZM,-16.5,27.61,19.24,95,100,2.33
sesheke,NA,-17.47,24.29,19.8,88,92,2.23
luebo,CD,-5.35,21.42,20.0,95,86,0.2
bloemfontein,ZA,-29.12,26.22,17.0,93,90,3.6
watsa,CD,3.04,29.53,19.39,59,69,0.91
bozoum,CF,6.31,16.38,19.33,41,0,1.84
bangassou,CF,4.74,22.82,19.2,43,23,1.35
carnot,CF,4.94,15.87,20.04,41,0,1.63
khudumelapye,BW,-23.91,24.95,23.4,58,100,4.29
paoua,CF,7.24,16.43,18.96,41,0,1.87
pandamatenga,BW,-18.54,25.64,20.18,89,86,1.62
senekal,ZA,-28.32,27.62,17.78,78,100,5.36
camabatela,AO,-8.19,15.37,16.73,97,100,0.45
otjiwarongo,NA,-20.46,16.65,15.0,58,11,2.1
makamba,BI,-4.13,29.8,16.12,85,100,1.31
kabare,RW,-1.65,29.38,10.5,91,98,0.77
nola,CF,3.52,16.05,18.87,46,0,0.83
dourbali,TD,11.81,15.86,19.57,16,31,4.72
berberati,CF,4.26,15.79,19.14,44,0,0.95
mmathubudukwane,BW,-24.61,26.43,21.0,100,75,3.1
rustenburg,ZA,-25.67,27.24,21.05,61,100,1.2
gweru,ZW,-19.46,29.82,18.0,85,66,1.3
mbanza-ngungu,CD,-5.25,14.87,20.43,95,100,0.91
bosobolo,CD,4.19,19.88,22.34,40,2,2.01
thaba nchu,ZA,-29.2,26.83,17.0,93,90,3.6
newcastle,AU,-32.93,151.78,28.33,69,90,7.7
oshikango,NA,-17.39,15.89,22.0,60,83,2.1
sibut,CF,5.73,19.09,21.41,40,0,2.19
siyabuswa,ZA,-25.11,29.06,20.3,54,4,3.67
mogwase,ZA,-25.28,27.22,20.84,57,100,1.4
phuthaditjhaba,ZA,-28.53,28.82,14.94,90,100,1.31
vredefort,ZA,-27.0,27.37,18.01,82,100,2.09
kapiri mposhi,ZM,-13.97,28.68,17.11,94,100,1.56
kabinda,CD,-6.14,24.49,19.81,95,100,1.98
libenge,CD,3.65,18.64,20.98,42,34,1.36
choma,ZM,-16.81,26.98,19.07,91,100,1.99
mogapinyana,BW,-22.37,27.59,26.0,65,0,5.85
nioki,CD,-2.72,17.69,23.07,94,100,1.52
kigoma,TZ,-4.88,29.64,21.0,94,20,2.69
mongu,ZM,-15.27,23.14,19.69,87,100,2.43
ippy,CF,6.26,21.2,21.35,35,94,2.56
bolobo,CD,-2.17,16.23,25.4,63,100,1.57
lubao,CD,-5.39,25.75,20.67,95,100,1.49
victoria falls,ZW,-17.93,25.84,21.11,88,100,0.38
ventersburg,ZA,-28.08,27.14,18.48,81,100,3.82
kathu,ZA,-27.7,23.05,18.33,96,100,3.32
gamboma,CG,-1.87,15.88,25.4,63,100,1.57
kitwe,ZM,-12.81,28.21,17.32,95,100,1.39
otavi,NA,-19.64,17.34,19.62,60,100,2.0
christiana,ZA,-27.91,25.16,17.92,88,100,5.09
kariba,ZW,-16.53,28.78,21.8,92,63,0.96
kasane,BW,-17.8,25.16,19.56,90,83,1.41
calvinia,ZA,-31.47,19.78,21.0,68,58,5.7
zvishavane,ZW,-20.32,30.05,21.33,53,83,0.96
letlhakane,BW,-21.42,25.59,23.99,67,100,2.29
catabola,AO,-12.14,17.29,16.77,95,100,1.4
omaruru,NA,-21.42,15.95,19.49,45,47,0.53
ouango,CD,4.31,22.55,19.95,43,1,1.59
bossangoa,CF,6.5,17.45,19.86,40,0,1.21
winburg,ZA,-28.52,27.01,18.35,75,100,4.61
bokaa,BW,-24.43,26.02,21.0,100,75,3.1
bitkine,TD,11.98,18.21,20.08,19,0,4.69
mobaye,CF,4.33,21.18,21.17,44,46,1.56
krugersdorp,ZA,-26.1,27.78,22.78,52,40,3.6
nakambala,ZM,-15.83,27.78,18.96,94,99,1.21
sefophe,BW,-22.18,27.97,26.0,65,0,4.63
gitarama,RW,-2.07,29.76,16.67,93,100,1.34
bol,TD,13.47,14.72,20.4,29,0,7.61
monze,ZM,-16.28,27.48,19.24,95,100,2.33
bangui,CF,4.39,18.55,21.0,94,0,1.29
luangwa,MZ,-15.62,30.4,21.81,92,100,0.15
caala,AO,-12.85,15.56,16.44,95,100,0.91
maamba,ZM,-17.36,27.22,21.92,82,100,0.5
yagoua,CM,10.34,15.23,18.67,20,0,3.69
ntungamo,UG,-0.87,30.27,16.4,90,80,1.08
